ogbn-arxiv,8192,nbr,10000000,
Epoch 00041 | Loss 1.2754 | Accuracy 0.6189 
Epoch 00042 | Loss 1.2733 | Accuracy 0.6189 
Epoch 00043 | Loss 1.2748 | Accuracy 0.6178 
Epoch 00044 | Loss 1.2724 | Accuracy 0.6178 
Epoch 00045 | Loss 1.2688 | Accuracy 0.6130 
Epoch 00046 | Loss 1.2705 | Accuracy 0.6176 
Epoch 00047 | Loss 1.2655 | Accuracy 0.6161 
Epoch 00048 | Loss 1.2688 | Accuracy 0.6195 
Epoch 00049 | Loss 1.2684 | Accuracy 0.6145 
Epoch 00050 | Loss 1.2660 | Accuracy 0.6169 
Epoch 00051 | Loss 1.2636 | Accuracy 0.6188 
Epoch 00052 | Loss 1.2626 | Accuracy 0.6173 
Epoch 00053 | Loss 1.2624 | Accuracy 0.6172 
Epoch 00054 | Loss 1.2621 | Accuracy 0.6187 
Epoch 00055 | Loss 1.2626 | Accuracy 0.6195 
Epoch 00056 | Loss 1.2600 | Accuracy 0.6175 
Epoch 00057 | Loss 1.2610 | Accuracy 0.6176 
Epoch 00058 | Loss 1.2587 | Accuracy 0.6215 
Epoch 00059 | Loss 1.2581 | Accuracy 0.6212 
Epoch 00060 | Loss 1.2612 | Accuracy 0.6160 
Epoch 00061 | Loss 1.2559 | Accuracy 0.6210 
Epoch 00062 | Loss 1.2582 | Accuracy 0.6219 
Epoch 00063 | Loss 1.2551 | Accuracy 0.6158 
Epoch 00064 | Loss 1.2560 | Accuracy 0.6218 
Epoch 00065 | Loss 1.2552 | Accuracy 0.6214 
Epoch 00066 | Loss 1.2520 | Accuracy 0.6207 
Epoch 00067 | Loss 1.2506 | Accuracy 0.6207 
Epoch 00068 | Loss 1.2490 | Accuracy 0.6208 
Epoch 00069 | Loss 1.2517 | Accuracy 0.6185 
Epoch 00070 | Loss 1.2519 | Accuracy 0.6201 
Epoch 00071 | Loss 1.2506 | Accuracy 0.6226 
Epoch 00072 | Loss 1.2503 | Accuracy 0.6184 
Epoch 00073 | Loss 1.2508 | Accuracy 0.6200 
Epoch 00074 | Loss 1.2491 | Accuracy 0.6207 
Epoch 00075 | Loss 1.2498 | Accuracy 0.6184 
Epoch 00076 | Loss 1.2489 | Accuracy 0.6198 
Epoch 00077 | Loss 1.2454 | Accuracy 0.6153 
Epoch 00078 | Loss 1.2473 | Accuracy 0.6232 
Epoch 00079 | Loss 1.2453 | Accuracy 0.6215 
Epoch 00080 | Loss 1.2469 | Accuracy 0.6228 
Epoch 00081 | Loss 1.2474 | Accuracy 0.6107 
Epoch 00082 | Loss 1.2449 | Accuracy 0.6189 
Epoch 00083 | Loss 1.2444 | Accuracy 0.6193 
Epoch 00084 | Loss 1.2445 | Accuracy 0.6204 
Epoch 00085 | Loss 1.2437 | Accuracy 0.6195 
Epoch 00086 | Loss 1.2445 | Accuracy 0.6183 
Epoch 00087 | Loss 1.2457 | Accuracy 0.6225 
Epoch 00088 | Loss 1.2424 | Accuracy 0.6217 
Epoch 00089 | Loss 1.2450 | Accuracy 0.6241 
Epoch 00090 | Loss 1.2404 | Accuracy 0.6175 
Epoch 00091 | Loss 1.2407 | Accuracy 0.6196 
Epoch 00092 | Loss 1.2427 | Accuracy 0.6205 
Epoch 00093 | Loss 1.2422 | Accuracy 0.6215 
Epoch 00094 | Loss 1.2393 | Accuracy 0.6224 
Epoch 00095 | Loss 1.2428 | Accuracy 0.6214 
Epoch 00096 | Loss 1.2412 | Accuracy 0.6234 
Epoch 00097 | Loss 1.2393 | Accuracy 0.6228 
Epoch 00098 | Loss 1.2389 | Accuracy 0.6171 
Epoch 00099 | Loss 1.2414 | Accuracy 0.6205 
Test Accuracy 0.5615
ogbn-products,8192,nbr,10000000,
8192,nbr,10000000,0,Epoch 00000 | Loss 3.2146 | Accuracy 0.6886 
Epoch 00001 | Loss 1.4230 | Accuracy 0.7782 
Epoch 00002 | Loss 1.1008 | Accuracy 0.8152 
Epoch 00003 | Loss 0.9652 | Accuracy 0.8328 
Epoch 00004 | Loss 0.8480 | Accuracy 0.8397 
Epoch 00005 | Loss 0.7603 | Accuracy 0.8442 
Epoch 00006 | Loss 0.7179 | Accuracy 0.8492 
Epoch 00007 | Loss 0.6725 | Accuracy 0.8548 
Epoch 00008 | Loss 0.6628 | Accuracy 0.8610 
Epoch 00009 | Loss 0.6324 | Accuracy 0.8619 
Epoch 00010 | Loss 0.6375 | Accuracy 0.8650 
Epoch 00011 | Loss 0.6008 | Accuracy 0.8683 
Epoch 00012 | Loss 0.5702 | Accuracy 0.8691 
Epoch 00013 | Loss 0.5647 | Accuracy 0.8708 
Epoch 00014 | Loss 0.5431 | Accuracy 0.8739 
Epoch 00015 | Loss 0.5284 | Accuracy 0.8753 
Epoch 00016 | Loss 0.5588 | Accuracy 0.8768 
Epoch 00017 | Loss 0.5461 | Accuracy 0.8748 
Epoch 00018 | Loss 0.5584 | Accuracy 0.8756 
Epoch 00019 | Loss 0.5346 | Accuracy 0.8779 
Epoch 00020 | Loss 0.5222 | Accuracy 0.8773 
Epoch 00021 | Loss 0.5070 | Accuracy 0.8780 
Epoch 00022 | Loss 0.4980 | Accuracy 0.8819 
Epoch 00023 | Loss 0.4986 | Accuracy 0.8805 
Epoch 00024 | Loss 0.4764 | Accuracy 0.8828 
Epoch 00025 | Loss 0.4765 | Accuracy 0.8832 
Epoch 00026 | Loss 0.4946 | Accuracy 0.8828 
Epoch 00027 | Loss 0.4700 | Accuracy 0.8827 
Epoch 00028 | Loss 0.4698 | Accuracy 0.8833 
Epoch 00029 | Loss 0.5163 | Accuracy 0.8831 
Epoch 00030 | Loss 0.5109 | Accuracy 0.8837 
Epoch 00031 | Loss 0.4624 | Accuracy 0.8855 
Epoch 00032 | Loss 0.4443 | Accuracy 0.8842 
Epoch 00033 | Loss 0.4612 | Accuracy 0.8862 
Epoch 00034 | Loss 0.4356 | Accuracy 0.8883 
Epoch 00035 | Loss 0.4332 | Accuracy 0.8885 
Epoch 00036 | Loss 0.4259 | Accuracy 0.8894 
Epoch 00037 | Loss 0.4429 | Accuracy 0.8894 
Epoch 00038 | Loss 0.4398 | Accuracy 0.8886 
Epoch 00039 | Loss 0.4295 | Accuracy 0.8887 
Epoch 00040 | Loss 0.4250 | Accuracy 0.8888 
Epoch 00041 | Loss 0.4242 | Accuracy 0.8899 
Epoch 00042 | Loss 0.4790 | Accuracy 0.8912 
Epoch 00043 | Loss 0.4640 | Accuracy 0.8878 
Epoch 00044 | Loss 0.4534 | Accuracy 0.8916 
Epoch 00045 | Loss 0.4285 | Accuracy 0.8911 
Epoch 00046 | Loss 0.4201 | Accuracy 0.8920 
Epoch 00047 | Loss 0.4127 | Accuracy 0.8912 
Epoch 00048 | Loss 0.4108 | Accuracy 0.8921 
Epoch 00049 | Loss 0.4581 | Accuracy 0.8908 
Epoch 00050 | Loss 0.4545 | Accuracy 0.8915 
Epoch 00051 | Loss 0.4274 | Accuracy 0.8910 
Epoch 00052 | Loss 0.4071 | Accuracy 0.8922 
Epoch 00053 | Loss 0.4051 | Accuracy 0.8934 
Epoch 00054 | Loss 0.3999 | Accuracy 0.8940 
Epoch 00055 | Loss 0.4312 | Accuracy 0.8938 
Epoch 00056 | Loss 0.4267 | Accuracy 0.8934 
Epoch 00057 | Loss 0.4145 | Accuracy 0.8935 
Epoch 00058 | Loss 0.4022 | Accuracy 0.8943 
Epoch 00059 | Loss 0.4237 | Accuracy 0.8963 
Epoch 00060 | Loss 0.4004 | Accuracy 0.8957 
Epoch 00061 | Loss 0.4019 | Accuracy 0.8952 
Epoch 00062 | Loss 0.4243 | Accuracy 0.8960 
Epoch 00063 | Loss 0.4294 | Accuracy 0.8939 
Epoch 00064 | Loss 0.3954 | Accuracy 0.8941 
Epoch 00065 | Loss 0.4148 | Accuracy 0.8943 
Epoch 00066 | Loss 0.4136 | Accuracy 0.8934 
Epoch 00067 | Loss 0.4113 | Accuracy 0.8928 
Epoch 00068 | Loss 0.3992 | Accuracy 0.8938 
Epoch 00069 | Loss 0.3934 | Accuracy 0.8953 
Epoch 00070 | Loss 0.4028 | Accuracy 0.8936 
Epoch 00071 | Loss 0.3857 | Accuracy 0.8951 
Epoch 00072 | Loss 0.3785 | Accuracy 0.8965 
Epoch 00073 | Loss 0.3748 | Accuracy 0.8966 
Epoch 00074 | Loss 0.3709 | Accuracy 0.8956 
Epoch 00075 | Loss 0.3792 | Accuracy 0.8978 
Epoch 00076 | Loss 0.3705 | Accuracy 0.8982 
Epoch 00077 | Loss 0.3920 | Accuracy 0.8962 
Epoch 00078 | Loss 0.3946 | Accuracy 0.8946 
Epoch 00079 | Loss 0.3835 | Accuracy 0.8967 
Epoch 00080 | Loss 0.3844 | Accuracy 0.8975 
Epoch 00081 | Loss 0.3677 | Accuracy 0.8989 
Epoch 00082 | Loss 0.3871 | Accuracy 0.8971 
Epoch 00083 | Loss 0.4102 | Accuracy 0.8979 
Epoch 00084 | Loss 0.3813 | Accuracy 0.8985 
Epoch 00085 | Loss 0.3618 | Accuracy 0.9008 
Epoch 00086 | Loss 0.3644 | Accuracy 0.8996 
Epoch 00087 | Loss 0.3611 | Accuracy 0.9004 
Epoch 00088 | Loss 0.3541 | Accuracy 0.9012 
Epoch 00089 | Loss 0.3695 | Accuracy 0.9001 
Epoch 00090 | Loss 0.3747 | Accuracy 0.8991 
Epoch 00091 | Loss 0.3723 | Accuracy 0.9008 
Epoch 00092 | Loss 0.3626 | Accuracy 0.8999 
Epoch 00093 | Loss 0.3528 | Accuracy 0.9005 
Epoch 00094 | Loss 0.3531 | Accuracy 0.9015 
Epoch 00095 | Loss 0.3624 | Accuracy 0.9015 
Epoch 00096 | Loss 0.3686 | Accuracy 0.8980 
Epoch 00097 | Loss 0.3895 | Accuracy 0.8980 
Epoch 00098 | Loss 0.3919 | Accuracy 0.8964 
Epoch 00099 | Loss 0.3861 | Accuracy 0.8987 
ogbn-products,1024,nbr,10000000,
1024,nbr,10000000,0,Epoch 00000 | Loss 1.2963 | Accuracy 0.8538 
Epoch 00001 | Loss 0.6105 | Accuracy 0.8742 
Epoch 00002 | Loss 0.5154 | Accuracy 0.8832 
Epoch 00003 | Loss 0.4718 | Accuracy 0.8879 
Epoch 00004 | Loss 0.4452 | Accuracy 0.8906 
Epoch 00005 | Loss 0.4308 | Accuracy 0.8932 
Epoch 00006 | Loss 0.4093 | Accuracy 0.8952 
Epoch 00007 | Loss 0.3949 | Accuracy 0.8971 
Epoch 00008 | Loss 0.3848 | Accuracy 0.8976 
Epoch 00009 | Loss 0.3744 | Accuracy 0.8997 
Epoch 00010 | Loss 0.3681 | Accuracy 0.9023 
Epoch 00011 | Loss 0.3655 | Accuracy 0.9020 
Epoch 00012 | Loss 0.3539 | Accuracy 0.9042 
Epoch 00013 | Loss 0.3475 | Accuracy 0.9052 
Epoch 00014 | Loss 0.3434 | Accuracy 0.9042 
Epoch 00015 | Loss 0.3416 | Accuracy 0.9062 
Epoch 00016 | Loss 0.3389 | Accuracy 0.9003 
Epoch 00017 | Loss 0.3436 | Accuracy 0.9050 
Epoch 00018 | Loss 0.3418 | Accuracy 0.9046 
Epoch 00019 | Loss 0.3396 | Accuracy 0.9037 
Epoch 00020 | Loss 0.3333 | Accuracy 0.9068 
Epoch 00021 | Loss 0.3355 | Accuracy 0.9048 
Epoch 00022 | Loss 0.3293 | Accuracy 0.9068 
Epoch 00023 | Loss 0.3250 | Accuracy 0.9044 
Epoch 00024 | Loss 0.3253 | Accuracy 0.9076 
Epoch 00025 | Loss 0.3229 | Accuracy 0.9094 
Epoch 00026 | Loss 0.3308 | Accuracy 0.9019 
Epoch 00027 | Loss 0.3338 | Accuracy 0.9083 
Epoch 00028 | Loss 0.3243 | Accuracy 0.9068 
Epoch 00029 | Loss 0.3260 | Accuracy 0.9098 
Epoch 00030 | Loss 0.3186 | Accuracy 0.9078 
Epoch 00031 | Loss 0.3197 | Accuracy 0.9099 
Epoch 00032 | Loss 0.3140 | Accuracy 0.9084 
Epoch 00033 | Loss 0.3138 | Accuracy 0.9093 
Epoch 00034 | Loss 0.3128 | Accuracy 0.9075 
Epoch 00035 | Loss 0.3199 | Accuracy 0.9092 
Epoch 00036 | Loss 0.3140 | Accuracy 0.9062 
Epoch 00037 | Loss 0.3202 | Accuracy 0.9030 
Epoch 00038 | Loss 0.3177 | Accuracy 0.9101 
Epoch 00039 | Loss 0.3100 | Accuracy 0.9081 
Epoch 00040 | Loss 0.3110 | Accuracy 0.9098 
Epoch 00041 | Loss 0.3086 | Accuracy 0.9103 
Epoch 00042 | Loss 0.3092 | Accuracy 0.9099 
Epoch 00043 | Loss 0.3126 | Accuracy 0.9078 
Epoch 00044 | Loss 0.3146 | Accuracy 0.9082 
Epoch 00045 | Loss 0.3081 | Accuracy 0.9079 
Epoch 00046 | Loss 0.3129 | Accuracy 0.9116 
Epoch 00047 | Loss 0.3077 | Accuracy 0.9095 
Epoch 00048 | Loss 0.3110 | Accuracy 0.9064 
Epoch 00049 | Loss 0.3108 | Accuracy 0.9098 
Epoch 00050 | Loss 0.3075 | Accuracy 0.9098 
Epoch 00051 | Loss 0.3103 | Accuracy 0.9103 
Epoch 00052 | Loss 0.3153 | Accuracy 0.9091 
