Epoch 00079 | Loss 0.3805 | Accuracy 0.8861 
Epoch 00078 | Loss 0.3951 | Accuracy 0.8835 
Epoch 00077 | Loss 0.4054 | Accuracy 0.8824 
Epoch 00076 | Loss 0.3816 | Accuracy 0.8844 
Epoch 00075 | Loss 0.3612 | Accuracy 0.8911 
Epoch 00074 | Loss 0.3464 | Accuracy 0.8920 
Epoch 00073 | Loss 0.3720 | Accuracy 0.8879 
Epoch 00072 | Loss 0.3973 | Accuracy 0.8838 
Epoch 00071 | Loss 0.4055 | Accuracy 0.8864 
Epoch 00070 | Loss 0.3771 | Accuracy 0.8864 
Epoch 00069 | Loss 0.3677 | Accuracy 0.8907 
Epoch 00068 | Loss 0.3463 | Accuracy 0.8925 
Epoch 00067 | Loss 0.3352 | Accuracy 0.8939 
Epoch 00066 | Loss 0.3313 | Accuracy 0.8950 
Epoch 00065 | Loss 0.3457 | Accuracy 0.8958 
Epoch 00064 | Loss 0.3307 | Accuracy 0.8961 
Epoch 00063 | Loss 0.3300 | Accuracy 0.8958 
Epoch 00062 | Loss 0.3516 | Accuracy 0.8924 
Epoch 00061 | Loss 0.3402 | Accuracy 0.8955 
Epoch 00060 | Loss 0.3244 | Accuracy 0.8967 
Epoch 00059 | Loss 0.3277 | Accuracy 0.8973 
Epoch 00058 | Loss 0.3365 | Accuracy 0.8963 
Epoch 00057 | Loss 0.3428 | Accuracy 0.8936 
Epoch 00056 | Loss 0.3301 | Accuracy 0.8954 
Epoch 00055 | Loss 0.3421 | Accuracy 0.8958 
Epoch 00054 | Loss 0.3784 | Accuracy 0.8925 
Epoch 00053 | Loss 0.3590 | Accuracy 0.8960 
Epoch 00052 | Loss 0.3315 | Accuracy 0.8984 
Epoch 00051 | Loss 0.3117 | Accuracy 0.8998 
Epoch 00050 | Loss 0.3155 | Accuracy 0.8974 
Epoch 00049 | Loss 0.3133 | Accuracy 0.8993 
Epoch 00048 | Loss 0.3126 | Accuracy 0.8955 
Epoch 00047 | Loss 0.3432 | Accuracy 0.8866 
Epoch 00046 | Loss 0.3525 | Accuracy 0.8972 
Epoch 00045 | Loss 0.3082 | Accuracy 0.8986 
Epoch 00044 | Loss 0.3139 | Accuracy 0.9000 
